BOOK, Value: book, Line: 1
NUMBER, Value: 2, Line: 1
TICKETS, Value: tickets, Line: 1
FOR, Value: for, Line: 1
STRING_LITERAL, Value: Jane Doe, Line: 1
ON, Value: on, Line: 1
DATE_VAL, Value: April 27, 2025, Line: 1
FOR, Value: for, Line: 1
STRING_LITERAL, Value: Playstation: The Concert, Line: 1
DOT, Value: ., Line: 1
CANCEL, Value: cancel, Line: 3
NUMBER, Value: 1, Line: 3
TICKET, Value: ticket, Line: 3
FOR, Value: for, Line: 3
STRING_LITERAL, Value: Jane Doe, Line: 3
FOR, Value: for, Line: 3
EVENT, Value: event, Line: 3
STRING_LITERAL, Value: Playstation: The Concert, Line: 3
DOT, Value: ., Line: 3
