STRING_TYPE, Value: string, Line: 5
IDENTIFIER, Value: eventName, Line: 5
EQUALS, Value: =, Line: 5
STRING_LITERAL, Value: Rock Concert, Line: 5
DOT, Value: ., Line: 5
STRING_TYPE, Value: string, Line: 6
IDENTIFIER, Value: customerName, Line: 6
EQUALS, Value: =, Line: 6
STRING_LITERAL, Value: Alice Smith, Line: 6
DOT, Value: ., Line: 6
INT_TYPE, Value: int, Line: 7
IDENTIFIER, Value: numberOfTickets, Line: 7
EQUALS, Value: =, Line: 7
NUMBER, Value: 3, Line: 7
DOT, Value: ., Line: 7
DATE_TYPE, Value: date, Line: 8
IDENTIFIER, Value: eventDate, Line: 8
EQUALS, Value: =, Line: 8
DATE_VAL, Value: March 25, 2025, Line: 8
DOT, Value: ., Line: 8
INT_TYPE, Value: int, Line: 9
IDENTIFIER, Value: numTickets, Line: 9
EQUALS, Value: =, Line: 9
IDENTIFIER, Value: three, Line: 9
DOT, Value: ., Line: 9
STRING_TYPE, Value: string, Line: 10
IDENTIFIER, Value: userName, Line: 10
EQUALS, Value: =, Line: 10
STRING_LITERAL, Value: bread, Line: 10
DOT, Value: ., Line: 10
IF, Value: if, Line: 13
LPAREN, Value: (, Line: 13
IDENTIFIER, Value: numberOfTickets, Line: 13
GT, Value: >, Line: 13
NUMBER, Value: 0, Line: 13
RPAREN, Value: ), Line: 13
LBRACKET, Value: [, Line: 13
BOOK, Value: book, Line: 15
IDENTIFIER, Value: numberOfTickets, Line: 15
TICKETS, Value: tickets, Line: 15
FOR, Value: for, Line: 15
IDENTIFIER, Value: customerName, Line: 15
ON, Value: on, Line: 15
IDENTIFIER, Value: eventDate, Line: 15
FOR, Value: for, Line: 15
IDENTIFIER, Value: eventName, Line: 15
DOT, Value: ., Line: 15
DISPLAY, Value: display, Line: 16
STRING_LITERAL, Value: Booking successful!, Line: 16
DOT, Value: ., Line: 16
CHECK, Value: check, Line: 19
PRICE, Value: price, Line: 19
FOR, Value: for, Line: 19
IDENTIFIER, Value: eventName, Line: 19
ON, Value: on, Line: 19
IDENTIFIER, Value: eventDate, Line: 19
DOT, Value: ., Line: 19
RBRACKET, Value: ], Line: 20
ELSE, Value: else, Line: 20
LBRACKET, Value: [, Line: 20
DISPLAY, Value: display, Line: 21
STRING_LITERAL, Value: Error: Must book at least one ticket., Line: 21
DOT, Value: ., Line: 21
RBRACKET, Value: ], Line: 22
LIST, Value: list, Line: 25
EVENTS, Value: events, Line: 25
ON, Value: on, Line: 25
IDENTIFIER, Value: eventDate, Line: 25
DOT, Value: ., Line: 25
STRING_TYPE, Value: string, Line: 28
IDENTIFIER, Value: feedbackPrompt, Line: 28
EQUALS, Value: =, Line: 28
STRING_LITERAL, Value: Please rate your experience (1-5):, Line: 28
DOT, Value: ., Line: 28
DISPLAY, Value: display, Line: 29
IDENTIFIER, Value: feedbackPrompt, Line: 29
DOT, Value: ., Line: 29
ACCEPT, Value: accept, Line: 31
IDENTIFIER, Value: feedbackResponse, Line: 31
DOT, Value: ., Line: 31
IF, Value: if, Line: 34
LPAREN, Value: (, Line: 34
IDENTIFIER, Value: feedbackResponse, Line: 34
LT, Value: <, Line: 34
STRING_LITERAL, Value: 3, Line: 34
RPAREN, Value: ), Line: 34
LBRACKET, Value: [, Line: 34
CANCEL, Value: cancel, Line: 35
TICKETS, Value: tickets, Line: 35
FOR, Value: for, Line: 35
IDENTIFIER, Value: customerName, Line: 35
EVENT, Value: event, Line: 35
IDENTIFIER, Value: eventName, Line: 35
DOT, Value: ., Line: 35
DISPLAY, Value: display, Line: 36
STRING_LITERAL, Value: We're sorry for the inconvenience. Your tickets have been cancelled., Line: 36
DOT, Value: ., Line: 36
RBRACKET, Value: ], Line: 37
